frequency_hz,frequency_ghz,S21_real,S21_imag,S21_mag,S11_real,S11_imag,S11_mag
4.399999999999999e9,4.3999999999999995,0.02919187579794956,-0.009672128890658526,0.03075249079148589,-0.18050192836811396,-0.9830937585833396,0.9995270303048964
4.402e9,4.402,0.02925681761013196,-0.009724595498033953,0.030830652511306175,-0.18129230678200287,-0.9829458633960427,0.9995246224409541
4.404e9,4.404,0.029321979041227065,-0.009777308747542797,0.030909128445152513,-0.182082650492128,-0.9827973006518287,0.9995221987423588
4.406e9,4.406,0.029387361241164332,-0.00983027016631598,0.030987920424924445,-0.1828729594991527,-0.9826480699984886,0.9995197590781952
4.407999999999999e9,4.4079999999999995,0.029452965368281573,-0.009883481294085582,0.031067030297016376,-0.18366323380650534,-0.9824981710803634,0.9995173033162168
4.41e9,4.41,0.02951879258887746,-0.00993694368307849,0.031146459921889042,-0.18445347342034782,-0.9823476035383337,0.9995148313228465
4.412e9,4.412,0.029584844077424916,-0.009990658898249091,0.031226211174375733,-0.1852436783509033,-0.9821963670095333,0.9995123429631566
4.414e9,4.414,0.02965112101666513,-0.01004462851743109,0.03130628594385017,-0.1860338486126816,-0.9820444611272746,0.999509838100859
4.416e9,4.416,0.029717624597809387,-0.010098854131432453,0.031386686134478675,-0.18682398422183896,-0.9818918855215042,0.9995073165982812
4.418e9,4.418,0.02978435602038787,-0.010153337344192355,0.03146741366515822,-0.18761408519982448,-0.981738639818082,0.9995047783163543
4.42e9,4.42,0.029851316492279983,-0.010208079772786097,0.03154847046957794,-0.18840415157027723,-0.9815847236393396,0.9995022231146035
4.422e9,4.422,0.029918507230199263,-0.010263083047855712,0.03162985849684865,-0.18919418336206648,-0.9814301366034309,0.9994996508510987
4.424e9,4.424,0.02998592945936304,-0.010318348813449583,0.031711579711170376,-0.18998418060613756,-0.9812748783249442,0.9994970613824833
4.425999999999999e9,4.425999999999999,0.030053584413559545,-0.010373878727246589,0.031793636092000685,-0.19077414333816903,-0.9811189484143291,0.9994944545639317
4.428e9,4.428,0.0301214733357001,-0.010429674460905912,0.03187602963472341,-0.1915640715980538,-0.9809623464779387,0.999491830249116
4.43e9,4.43,0.03018959747722347,-0.010485737699798462,0.0319587623500309,-0.19235396542734756,-0.980805072118527,0.9994891882902256
4.431999999999999e9,4.4319999999999995,0.030257958098684014,-0.010542070143527179,0.032041836264683154,-0.19314382487312215,-0.9806471249344312,0.9994865285379214
4.434e9,4.434,0.030326556469575765,-0.010598673505886315,0.03212525342136221,-0.19393364998606408,-0.9804885045199128,0.9994838508413291
4.436e9,4.436,0.03039539386863428,-0.010655549515122775,0.032209015879077145,-0.19472344082076762,-0.9803292104650453,0.9994811550480069
4.438e9,4.438,0.03046447158366213,-0.01071269991393629,0.032293125713033846,-0.19551319743494447,-0.980169242355854,0.999478441003949
4.439999999999999e9,4.4399999999999995,0.030533790911593337,-0.010770126459690187,0.032377585014800266,-0.19630291989130597,-0.9800085997738777,0.999475708553544
4.442e9,4.442,0.03060335315901889,-0.0108278309246942,0.032462395892931185,-0.19709260825535369,-0.9798472822965785,0.999472957539567
4.444e9,4.444,0.030673159641782143,-0.010885815096207048,0.032547560472623166,-0.19788226259760022,-0.9796852894968531,0.9994701878031572
4.446e9,4.446,0.03074321168518761,-0.010944080776593501,0.032633080895999686,-0.19867188299194902,-0.9795226209433185,0.9994673991838027
4.448e9,4.448,0.03081351062423214,-0.011002629783598361,0.032718959322456956,-0.19946146951686847,-0.979359276200019,0.9994645915193062
4.449999999999999e9,4.449999999999999,0.030884057803491512,-0.011061463950391969,0.03280519792860921,-0.20025102225501262,-0.9791952548264773,0.9994617646457854
4.452e9,4.452,0.03095485457738535,-0.011120585125786933,0.032891798908648164,-0.2010405412921945,-0.9790305563778365,0.9994589183976271
4.454e9,4.454,0.03102590231022406,-0.01117999517446538,0.032978764474501404,-0.20183002671975372,-0.9788651804043511,0.9994560526074867
4.455999999999999e9,4.4559999999999995,0.03109720237612617,-0.011239695976987893,0.033066096855795736,-0.2026194786324645,-0.9786991264517569,0.9994531671062551
4.458e9,4.458,0.031168756159344436,-0.011299689430087665,0.03315379830030198,-0.2034088971288186,-0.9785323940611811,0.9994502617230479
4.46e9,4.46,0.031240565054388197,-0.011359977446926284,0.033241871074175935,-0.20419828231294931,-0.9783649827686653,0.999447336285154
4.462e9,4.462,0.03131263046556795,-0.011420561956918322,0.03333031746150979,-0.20498763429235953,-0.9781968921056426,0.9994443906180656
4.464e9,4.4639999999999995,0.0313849538079093,-0.011481444906351395,0.03341913976544254,-0.20577695317913297,-0.9780281215985812,0.9994414245453989
4.466e9,4.466,0.031457536506670665,-0.011542628258303048,0.03350834030771882,-0.2065662390905022,-0.9778586707688534,0.9994384378889093
4.468e9,4.468,0.031530379997466,-0.011604113992758468,0.03359792142888511,-0.20735549214678886,-0.9776885391331015,0.9994354304684496
4.47e9,4.47,0.03160348572678222,-0.011665904107089117,0.03368788548898144,-0.20814471247379365,-0.9775177262026932,0.9994324021019539
4.472e9,4.472,0.03167685515165779,-0.011728000615977898,0.03377823486725567,-0.2089339002013872,-0.9773462314839556,0.999429352605402
4.474e9,4.474,0.03175048973980042,-0.011790405551650339,0.03386897196239589,-0.20972305546438988,-0.9771740544779555,0.9994262817928122
4.476e9,4.476,0.03182439096987588,-0.011853120964133743,0.03396009919293382,-0.21051217840194975,-0.9770011946805744,0.9994231894762119
4.478e9,4.478,0.031898560331639535,-0.01191614892146878,0.034051618997484816,-0.2113012691576806,-0.9768276515824085,0.9994200754655921
4.48e9,4.4799999999999995,0.031972999325727273,-0.011979491509802428,0.034143533834627975,-0.21209032788096738,-0.9766534246684581,0.9994169395689088
4.481999999999999e9,4.481999999999999,0.03204770946411898,-0.012043150833681888,0.034235846183487184,-0.21287935472485092,-0.9764785134185148,0.9994137815920398
4.484e9,4.484,0.03212269226991648,-0.012107129016143671,0.034328558543598946,-0.213668349847368,-0.9763029173068264,0.9994106013387676
4.486e9,4.486,0.03219794927777529,-0.012171428199069191,0.03442167343548665,-0.21445731341127508,-0.9761266358020962,0.9994073986107468
4.488e9,4.4879999999999995,0.03227348203364809,-0.012236050543250708,0.034515193400489474,-0.21524624558518335,-0.9759496683671814,0.9994041732074809
4.49e9,4.49,0.032349292095215164,-0.01230099822865257,0.03460912100130346,-0.21603514654070313,-0.975772014459657,0.9994009249262881
4.492e9,4.492,0.0324253810319566,-0.012366273454769717,0.034703458822222796,-0.2168240164567601,-0.9755936735308074,0.999397653562273
4.494e9,4.494,0.03250175042465077,-0.012431878440387983,0.03479820946863315,-0.2176128555158524,-0.9754146450264175,0.9993943589083217
4.496e9,4.4959999999999996,0.03257840186676299,-0.012497815424493216,0.03489337556868075,-0.21840166390529697,-0.9752349283863962,0.9993910407550298
