frequency_hz,frequency_ghz,S21_model_real,S21_model_imag,S21_model_mag
4399999999.999999,4.3999999999999995,0.029133420155061707,-0.009834805012402907,0.030748651345438572
4402000000.0,4.402,0.02919840694141128,-0.009886793874497143,0.03082686589702314
4404000000.0,4.404,0.029263613901800916,-0.009939029052299337,0.030905394304168422
4406000000.0,4.406,0.02932904218723687,-0.009991512073847544,0.030984238398620703
4407999999.999999,4.4079999999999995,0.029394692956788343,-0.010044244479647479,0.031063400026249396
4410000000.0,4.41,0.029460567377657544,-0.01009722782279917,0.03114288104718331
4412000000.0,4.412,0.029526666625249595,-0.010150463669124615,0.03122268333594739
4414000000.0,4.414,0.029592991883244144,-0.010203953597297748,0.031302808781602326
4416000000.0,4.416,0.029659544343666862,-0.010257699198975189,0.03138325928788463
4418000000.0,4.418,0.029726325206962112,-0.01031170207892912,0.031464036773349066
4420000000.0,4.42,0.02979333568206632,-0.010365963855181681,0.03154514317151246
4422000000.0,4.422,0.02986057698648193,-0.010420486159140745,0.03162658043099915
4424000000.0,4.424,0.029928050346352306,-0.010475270635737777,0.031708350515688266
4425999999.999999,4.425999999999999,0.02999575699653719,-0.010530318943566968,0.031790455404862555
4428000000.0,4.428,0.030063698180689342,-0.010585632755026525,0.03187289709335934
4430000000.0,4.43,0.03013187515133133,-0.010641213756461168,0.03195567759172252
4431999999.999999,4.431999999999999,0.030200289169933673,-0.010697063648306856,0.0320387989263571
4434000000.0,4.434,0.030268941506993725,-0.01075318414523721,0.03212226313968536
4436000000.0,4.436,0.0303378334421149,-0.010809576976311443,0.03220607229030432
4438000000.0,4.438,0.03040696626408737,-0.010866243885124523,0.032290228453145914
4439999999.999999,4.439999999999999,0.0304763412709691,-0.010923186629958961,0.03237473371963835
4442000000.0,4.442,0.030545959770168114,-0.01098040698393873,0.032459590197870015
4444000000.0,4.444,0.030615823078525107,-0.011037906735184625,0.03254480001275449
4446000000.0,4.446,0.030685932522397468,-0.011095687686972198,0.032630365306198415
4448000000.0,4.448,0.03075628943774394,-0.01115375165789131,0.032716288237270935
4449999999.999999,4.449999999999999,0.030826895170209957,-0.011212100482007603,0.032802570982374976
4452000000.0,4.452,0.030897751075214402,-0.011270736009026412,0.0328892157354212
4454000000.0,4.454,0.030968858518036532,-0.011329660104458152,0.032976224708003106
4455999999.999999,4.455999999999999,0.03104021887390459,-0.011388874649786454,0.033063600129575293
4458000000.0,4.458,0.0311118335280849,-0.011448381542638057,0.03315134424763321
4460000000.0,4.46,0.0311837038759717,-0.011508182696954646,0.0332394593278949
4462000000.0,4.462,0.03125583132317869,-0.011568280043167525,0.03332794765448581
4464000000.0,4.464,0.03132821728563062,-0.011628675528373905,0.033416811530124886
4466000000.0,4.466,0.03140086318965662,-0.011689371116515808,0.03350605327631361
4468000000.0,4.468,0.03147377047208386,-0.011750368788561009,0.033595675233526814
4470000000.0,4.47,0.03154694058033284,-0.01181167054268659,0.03368567976140634
4472000000.0,4.472,0.0316203749725131,-0.011873278394464556,0.033776069238956624
4474000000.0,4.474,0.03169407511752037,-0.011935194377050009,0.03386684606474288
4476000000.0,4.476,0.031768042495134576,-0.01199742054137188,0.033958012657091814
4478000000.0,4.478,0.03184227859611884,-0.012059958956325702,0.034049571454294526
4480000000.0,4.48,0.0319167849223197,-0.012122811708969419,0.03414152491481217
4481999999.999999,4.481999999999999,0.03199156298676816,-0.01218598090472127,0.034233875517483935
4484000000.0,4.484,0.032066614313782216,-0.01224946866756068,0.03432662576173798
4486000000.0,4.486,0.03214194043906985,-0.012313277140231262,0.03441977816780427
4488000000.0,4.488,0.03221754290983379,-0.012377408484446992,0.034513335276930894
4490000000.0,4.49,0.03229342328487708,-0.012441864881100807,0.034607299651602565
4492000000.0,4.492,0.03236958313470962,-0.012506648530475908,0.034701673875761854
4494000000.0,4.494,0.032446024041656224,-0.01257176165246001,0.03479646055503344
4496000000.0,4.496,0.03252274759996555,-0.012637206486762254,0.03489166231695089
4498000000.0,4.498,0.032599755415920355,-0.012702985293133212,0.03498728181118658
